Server,Sets,Games,Points,info,left_win,first,first_f,second,second_f
Alexander Zverev,1‑1,2‑3,15‑0,"1st serve down the T; forehand return down the middle (deep); forehand crosscourt; forehand down the middle (net cord); backhand down the middle; forehand inside-out (long), unforced error. (5-shot rally)",True,T,,,
Alexander Zverev,1‑1,2‑3,30‑0,"1st serve down the T, fault (net). 2nd serve down the T; backhand return crosscourt, forced error.",True,T,N,T,
Alexander Zverev,1‑1,2‑3,40‑0,"1st serve wide; backhand slice return down the middle (shallow); forehand at net crosscourt, winner.",True,W,,,
,,,,,,,,,
Kei Nishikori,1‑1,3‑3,0‑0,"1st serve wide; forehand return down the middle (deep); forehand crosscourt (long), unforced error.",False,W,,,
Kei Nishikori,1‑1,3‑3,0‑15,"1st serve wide, fault (net). 2nd serve wide; backhand return crosscourt (deep); backhand crosscourt; backhand crosscourt; backhand slice down the line; forehand down the line; backhand crosscourt; backhand slice down the middle; backhand volley inside-out; forehand crosscourt, forced error. (9-shot rally)",True,W,N,W,
Kei Nishikori,1‑1,3‑3,15‑15,"1st serve wide; forehand return down the line (very deep); backhand down the middle; forehand inside-out; backhand down the line (long), unforced error. (4-shot rally)",False,W,,,
Kei Nishikori,1‑1,3‑3,15‑30,"1st serve down the T; forehand return down the middle (very deep); forehand down the middle; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand down the middle; forehand inside-out; backhand crosscourt; backhand down the middle; forehand inside-out; backhand crosscourt; forehand inside-in; forehand down the middle; backhand inside-out (net cord); forehand drop shot crosscourt, winner. (17-shot rally)",True,T,,,
Kei Nishikori,1‑1,3‑3,30‑30,"1st serve down the T, fault (net). 2nd serve wide; forehand return crosscourt (very deep); forehand down the line, winner.",True,T,N,W,
Kei Nishikori,1‑1,3‑3,40‑30,"1st serve down the T; forehand return down the middle (shallow); forehand volley inside-out, forced error.",False,T,,,
Kei Nishikori,1‑1,3‑3,40‑40,"1st serve wide; forehand return crosscourt (deep); forehand down the line; backhand slice crosscourt; forehand inside-out; backhand crosscourt; backhand down the line; forehand chip/slice crosscourt, forced error. (7-shot rally)",True,W,,,
Kei Nishikori,1‑1,3‑3,AD‑40,"1st serve wide; backhand return down the line (shallow); forehand crosscourt; forehand down the line; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand crosscourt (wide), unforced error. (10-shot rally)",False,W,,,
Kei Nishikori,1‑1,3‑3,40‑40,"1st serve wide, fault (long). 2nd serve down the T; backhand return down the middle (very deep); forehand down the middle; backhand down the middle; backhand crosscourt; backhand crosscourt; backhand down the middle; forehand down the middle; forehand inside-out; backhand slice crosscourt; forehand inside-in (net cord); forehand at net down the line, winner. (12-shot rally)",False,W,L,T,
Kei Nishikori,1‑1,3‑3,40‑AD,"1st serve wide; backhand return down the line (shallow); forehand approach shot down the middle; backhand down the middle; forehand volley inside-out, winner. (5-shot rally)",True,W,,,
Kei Nishikori,1‑1,3‑3,40‑40,"1st serve down the T, fault (long). 2nd serve down the T; backhand return down the middle (very deep); backhand crosscourt; backhand crosscourt (long), unforced error.",True,T,L,T,
Kei Nishikori,1‑1,3‑3,AD‑40,"1st serve down the T, fault (net). 2nd serve wide; backhand return crosscourt (deep); forehand approach shot inside-out; backhand slice down the middle; trick shot, forced error. (4-shot rally)",False,T,N,W,
Kei Nishikori,1‑1,3‑3,40‑40,"1st serve down the T, fault (wide). 2nd serve down the T; backhand return crosscourt (deep); backhand crosscourt; backhand down the middle (long), unforced error.",True,T,W,T,
Kei Nishikori,1‑1,3‑3,AD‑40,"1st serve wide; backhand return, forced error.",True,W,,,
,,,,,,,,,
Alexander Zverev,1‑1,3‑4,0‑0,"1st serve wide; forehand return down the middle (deep); forehand down the middle; forehand inside-out; backhand down the middle; forehand crosscourt; forehand chip/slice down the middle; forehand drop shot at net inside-out; backhand slice crosscourt; backhand at net down the line, winner. (10-shot rally)",False,W,,,
Alexander Zverev,1‑1,3‑4,0‑15,"1st serve wide; backhand return down the line, forced error.",True,W,,,
Alexander Zverev,1‑1,3‑4,15‑15,"1st serve wide, fault (net). 2nd serve to body; backhand return inside-in (deep); backhand down the middle (net), unforced error.",False,W,N,B,
Alexander Zverev,1‑1,3‑4,15‑30,"1st serve wide; backhand slice return down the middle (shallow); forehand at net crosscourt, winner.",True,W,,,
Alexander Zverev,1‑1,3‑4,30‑30,"1st serve down the T, fault (net). 2nd serve to body; backhand return down the middle (deep); forehand crosscourt; forehand down the middle (net), unforced error.",True,T,N,B,
Alexander Zverev,1‑1,3‑4,40‑30,"1st serve down the T, fault (net). 2nd serve down the T, fault (net), double fault.",False,T,N,T,N
Alexander Zverev,1‑1,3‑4,40‑40,"1st serve down the T; backhand return down the middle (deep); backhand inside-out; forehand crosscourt; forehand crosscourt; forehand crosscourt; forehand down the middle; backhand crosscourt; backhand down the middle; forehand inside-out (long), unforced error. (9-shot rally)",True,T,,,
Alexander Zverev,1‑1,3‑4,AD‑40,"1st serve wide; backhand return down the middle (very deep); forehand inside-out; backhand crosscourt (wide), unforced error.",True,W,,,
,,,,,,,,,
Kei Nishikori,1‑1,4‑4,0‑0,"1st serve wide, fault (wide). 2nd serve down the T; backhand return down the middle (deep); forehand crosscourt; forehand down the middle; forehand crosscourt; forehand down the middle; forehand inside-out; backhand slice down the middle; forehand volley crosscourt; forehand crosscourt; forehand volley down the line, winner. (11-shot rally)",True,W,W,T,
Kei Nishikori,1‑1,4‑4,15‑0,"1st serve wide; backhand return crosscourt (deep); backhand down the middle; backhand down the middle; forehand inside-out; backhand crosscourt; forehand inside-out; backhand slice crosscourt; forehand inside-out; backhand crosscourt (net cord); backhand crosscourt (net), unforced error. (10-shot rally)",False,W,,,
Kei Nishikori,1‑1,4‑4,15‑15,"1st serve down the T, fault (long). 2nd serve down the T; backhand return down the middle (very deep); forehand down the middle; backhand crosscourt; backhand crosscourt (net cord); backhand down the line (wide and long), unforced error. (5-shot rally)",True,T,L,T,
Kei Nishikori,1‑1,4‑4,30‑15,"1st serve wide; backhand return down the middle (very deep); forehand crosscourt; forehand down the middle (long), unforced error.",True,W,,,
Kei Nishikori,1‑1,4‑4,40‑15,"1st serve wide, fault (wide). 2nd serve down the T; backhand return down the middle (very deep); forehand down the middle; forehand crosscourt; forehand down the middle; backhand crosscourt (net cord) (wide), unforced error. (5-shot rally)",True,W,W,T,
,,,,,,,,,
Alexander Zverev,1‑1,4‑5,0‑0,"1st serve down the T, fault (wide). 2nd serve down the T; backhand return down the middle (very deep); backhand down the middle; forehand down the middle; backhand crosscourt; backhand crosscourt; backhand down the middle; backhand down the middle; forehand inside-out; backhand crosscourt (net cord); backhand crosscourt; backhand slice crosscourt; backhand down the middle; forehand inside-out; backhand crosscourt; backhand crosscourt; backhand down the middle; backhand crosscourt; backhand crosscourt; backhand down the line; forehand down the middle; forehand crosscourt; forehand down the line (net), unforced error. (22-shot rally)",False,T,W,T,
Alexander Zverev,1‑1,4‑5,0‑15,"1st serve down the T, fault (long). 2nd serve to body; backhand return crosscourt (shallow); backhand crosscourt; backhand crosscourt; backhand crosscourt (long), unforced error. (4-shot rally)",False,T,L,B,
Alexander Zverev,1‑1,4‑5,0‑30,"1st serve down the T; backhand slice return down the middle (deep); backhand drop shot inside-out (net cord), winner.",True,T,,,
Alexander Zverev,1‑1,4‑5,15‑30,"1st serve down the T, service winner.",True,T,,,
Alexander Zverev,1‑1,4‑5,30‑30,"1st serve wide; forehand return down the middle (deep); backhand down the middle; backhand down the middle; backhand down the middle; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand down the middle; backhand down the middle; backhand down the middle (long), unforced error. (13-shot rally)",True,W,,,
Alexander Zverev,1‑1,4‑5,40‑30,"1st serve wide, fault (long). 2nd serve to body; forehand return inside-out (very deep); backhand crosscourt; forehand inside-out; backhand down the middle; forehand crosscourt; forehand lob down the middle; backhand swinging volley crosscourt; backhand lob down the middle; smash at baseline down the middle; backhand down the middle; backhand drop shot inside-out; forehand chip/slice down the line, forced error. (12-shot rally)",False,W,L,B,
Alexander Zverev,1‑1,4‑5,40‑40,"1st serve wide; forehand return down the middle (deep); forehand down the middle; backhand down the middle; backhand crosscourt; backhand down the line; forehand down the middle; backhand crosscourt; backhand slice crosscourt; forehand drop shot inside-out; backhand drop shot down the middle; forehand down the middle; backhand volley crosscourt, forced error. (12-shot rally)",False,W,,,
Alexander Zverev,1‑1,4‑5,40‑AD,"1st serve to body; forehand return inside-out (very deep); backhand crosscourt (wide), unforced error.",False,B,,,
