Server,Sets,Games,Points,info,left_win,first,first_f,second,second_f
Kei Nishikori,0‑0,3‑3,30‑0,"1st serve down the T, fault (net). 2nd serve down the T; backhand return down the middle (deep); backhand down the middle; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand down the line, winner. (9-shot rally)",True,T,N,T,
Kei Nishikori,0‑0,3‑3,40‑0,"1st serve wide; backhand return down the line (very deep), winner.",False,W,,,
Kei Nishikori,0‑0,3‑3,40‑15,"1st serve wide; forehand return down the middle (shallow); backhand down the middle; backhand crosscourt; backhand crosscourt; backhand down the middle; forehand down the middle; forehand inside-out, winner. (8-shot rally)",False,W,,,
Kei Nishikori,0‑0,3‑3,40‑30,"1st serve wide, fault (net). 2nd serve wide; backhand return down the middle (very deep); backhand crosscourt; backhand crosscourt; backhand down the middle; backhand down the middle; forehand inside-out; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand drop shot down the line, winner. (12-shot rally)",False,W,N,W,
Kei Nishikori,0‑0,3‑3,40‑40,"1st serve wide; forehand return crosscourt, forced error.",True,W,,,
Kei Nishikori,0‑0,3‑3,AD‑40,"1st serve wide, fault (wide). 2nd serve down the T, fault (net), double fault.",False,W,W,T,N
Kei Nishikori,0‑0,3‑3,40‑40,"1st serve wide, fault (long). 2nd serve wide; forehand return down the middle (deep); forehand down the middle (long), unforced error.",False,W,L,W,
Kei Nishikori,0‑0,3‑3,40‑AD,"1st serve down the T; forehand return inside-out (deep); backhand down the middle; forehand crosscourt; forehand crosscourt; forehand crosscourt; forehand down the line; backhand down the middle; backhand crosscourt; backhand down the middle; forehand crosscourt; forehand down the middle; backhand crosscourt (net cord) (wide), unforced error. (12-shot rally)",False,T,,,
,,,,,,,,,
Alexander Zverev,0‑0,4‑3,0‑0,"1st serve wide, fault (net). 2nd serve to body; forehand return down the middle (very deep); backhand down the middle; backhand crosscourt (long), unforced error.",True,W,N,B,
Alexander Zverev,0‑0,4‑3,15‑0,"1st serve down the T; forehand chip/slice return inside-out (deep); backhand approach shot down the line; forehand crosscourt, forced error.",True,T,,,
Alexander Zverev,0‑0,4‑3,30‑0,"1st serve down the T, fault (net). 2nd serve down the T; backhand return down the middle (very deep); backhand down the middle; backhand down the middle; backhand crosscourt; backhand down the middle; backhand crosscourt; backhand crosscourt; backhand drop shot down the middle; forehand drop shot inside-out, winner. (10-shot rally)",False,T,N,T,
Alexander Zverev,0‑0,4‑3,30‑15,"1st serve down the T, fault (wide). 2nd serve to body; backhand return crosscourt (deep); backhand crosscourt; backhand crosscourt; backhand down the line; forehand chip/slice down the middle; forehand approach shot inside-out; backhand slice down the line; forehand volley crosscourt, forced error. (8-shot rally)",False,T,W,B,
Alexander Zverev,0‑0,4‑3,30‑30,"1st serve wide; forehand return crosscourt (shallow); forehand down the middle; forehand crosscourt; forehand down the middle; forehand inside-out (wide), unforced error. (5-shot rally)",True,W,,,
Alexander Zverev,0‑0,4‑3,40‑30,"1st serve down the T; forehand chip/slice return crosscourt (very deep); forehand crosscourt; forehand down the middle; backhand crosscourt; backhand slice crosscourt (net), unforced error. (5-shot rally)",True,T,,,
,,,,,,,,,
Kei Nishikori,0‑0,3‑5,0‑0,"1st serve down the T; backhand return down the middle (deep); forehand approach shot inside-out; backhand down the middle; forehand volley crosscourt, winner. (5-shot rally)",True,T,,,
Kei Nishikori,0‑0,3‑5,15‑0,"1st serve down the T; forehand return down the middle (very deep); backhand crosscourt; backhand down the middle; forehand down the middle; backhand crosscourt; backhand slice crosscourt; backhand down the line (net), unforced error. (7-shot rally)",True,T,,,
Kei Nishikori,0‑0,3‑5,30‑0,"1st serve down the T, fault (long). 2nd serve down the T, fault (long), double fault.",False,T,L,T,L
Kei Nishikori,0‑0,3‑5,30‑15,"1st serve down the T; forehand return down the middle (very deep); forehand down the middle; backhand crosscourt; backhand crosscourt (long), unforced error. (4-shot rally)",False,T,,,
Kei Nishikori,0‑0,3‑5,30‑30,"1st serve to body; forehand return down the middle (very deep); forehand down the middle; backhand crosscourt; backhand down the line, forced error. (4-shot rally)",False,B,,,
Kei Nishikori,0‑0,3‑5,30‑40,"1st serve down the T; forehand return inside-out (deep); backhand crosscourt; backhand down the middle; forehand crosscourt (long), unforced error. (4-shot rally)",False,T,,,
,,,,,,,,,
Alexander Zverev,1‑0,0‑0,0‑0,"1st serve down the T, ace.",True,T,,,
